cm,85th
45,2.7
45.5,2.8
46,2.9
46.5,3
47,3.1
47.5,3.2
48,3.3
48.5,3.4
49,3.5
49.5,3.6
50,3.7
50.5,3.8
51,3.9
51.5,4
52,4.2
52.5,4.3
53,4.4
53.5,4.6
54,4.7
54.5,4.9
55,5
55.5,5.2
56,5.3
56.5,5.5
57,5.6
57.5,5.7
58,5.9
58.5,6
59,6.2
59.5,6.3
cm,85th
60,6.5
60.5,6.6
61,6.7
61.5,6.9
62,7
62.5,7.2
63,7.3
63.5,7.4
64,7.5
64.5,7.7
65,7.8
65.5,7.9
66,8
66.5,8.2
67,8.3
67.5,8.4
68,8.5
68.5,8.6
69,8.8
69.5,8.9
70,9
70.5,9.1
71,9.2
71.5,9.3
72,9.4
72.5,9.5
73,9.6
73.5,9.7
74,9.9
74.5,10
75,10.1
cm,85th
75.5,10.2
76,10.3
76.5,10.4
77,10.5
77.5,10.6
78,10.7
78.5,10.8
79,10.9
79.5,11
80,11.1
80.5,11.2
81,11.3
81.5,11.4
82,11.6
82.5,11.7
83,11.8
83.5,11.9
84,12.1
84.5,12.2
85,12.3
85.5,12.5
86,12.6
86.5,12.7
87,12.9
87.5,13
88,13.2
88.5,13.3
89,13.4
89.5,13.6
90,13.7
90.5,13.8
cm,85th
91,14
91.5,14.1
92,14.2
92.5,14.4
93,14.5
93.5,14.7
94,14.8
94.5,14.9
95,15.1
95.5,15.2
96,15.4
96.5,15.5
97,15.6
97.5,15.8
98,15.9
98.5,16.1
99,16.2
99.5,16.4
100,16.5
100.5,16.7
101,16.9
101.5,17
102,17.2
102.5,17.4
103,17.5
103.5,17.7
104,17.9
104.5,18.1
105,18.2
105.5,18.4
106,18.6
cm,85th
106.5,18.8
107,19
107.5,19.2
108,19.4
108.5,19.6
109,19.8
109.5,20
110,20.2
