cm,15th
45,2.2
45.5,2.3
46,2.4
46.5,2.5
47,2.6
47.5,2.6
48,2.7
48.5,2.8
49,2.9
49.5,3
50,3.1
50.5,3.2
51,3.2
51.5,3.4
52,3.5
52.5,3.6
53,3.7
53.5,3.8
54,3.9
54.5,4
55,4.1
55.5,4.3
56,4.4
56.5,4.5
57,4.6
57.5,4.8
58,4.9
58.5,5
59,5.1
59.5,5.2
cm,15th
60,5.4
60.5,5.5
61,5.6
61.5,5.7
62,5.8
62.5,5.9
63,6
63.5,6.1
64,6.2
64.5,6.3
65,6.5
65.5,6.6
66,6.7
66.5,6.8
67,6.9
67.5,7
68,7.1
68.5,7.2
69,7.3
69.5,7.3
70,7.4
70.5,7.5
71,7.6
71.5,7.7
72,7.8
72.5,7.9
73,8
73.5,8.1
74,8.2
74.5,8.3
75,8.3
cm,15th
75.5,8.4
76,8.5
76.5,8.6
77,8.7
77.5,8.8
78,8.9
78.5,8.9
79,9
79.5,9.1
80,9.2
80.5,9.3
81,9.4
81.5,9.5
82,9.6
82.5,9.7
83,9.8
83.5,9.9
84,10
84.5,10.1
85,10.2
85.5,10.4
86,10.5
86.5,10.6
87,10.7
87.5,10.8
88,10.9
88.5,11
89,11.2
89.5,11.3
90,11.4
90.5,11.5
cm,15th
91,11.6
91.5,11.7
92,11.8
92.5,12
93,12.1
93.5,12.2
94,12.3
94.5,12.4
95,12.5
95.5,12.6
96,12.7
96.5,12.9
97,13
97.5,13.1
98,13.2
98.5,13.3
99,13.5
99.5,13.6
100,13.7
100.5,13.8
101,14
101.5,14.1
102,14.2
102.5,14.4
103,14.5
103.5,14.6
104,14.8
104.5,14.9
105,15.1
105.5,15.2
106,15.4
cm,15th
106.5,15.5
107,15.7
107.5,15.8
108,16
108.5,16.2
109,16.3
109.5,16.5
110,16.7
