cm,2 SD
45,3
45.5,3.1
46,3.1
46.5,3.2
47,3.3
47.5,3.4
48,3.6
48.5,3.7
49,3.8
49.5,3.9
50,4
50.5,4.1
51,4.2
51.5,4.4
52,4.5
52.5,4.6
53,4.8
53.5,4.9
54,5.1
54.5,5.3
55,5.4
55.5,5.6
56,5.8
56.5,5.9
57,6.1
57.5,6.3
58,6.4
58.5,6.6
59,6.8
59.5,7
cm,2 SD
60,7.1
60.5,7.3
61,7.4
61.5,7.6
62,7.7
62.5,7.9
63,8
63.5,8.2
64,8.3
64.5,8.5
65,8.6
65.5,8.7
66,8.9
66.5,9
67,9.2
67.5,9.3
68,9.4
68.5,9.6
69,9.7
69.5,9.8
70,10
70.5,10.1
71,10.2
71.5,10.4
72,10.5
72.5,10.6
73,10.8
73.5,10.9
74,11
74.5,11.2
75,11.3
cm,2 SD
75.5,11.4
76,11.5
76.5,11.6
77,11.7
77.5,11.9
78,12
78.5,12.1
79,12.2
79.5,12.3
80,12.4
80.5,12.5
81,12.6
81.5,12.7
82,12.8
82.5,13
83,13.1
83.5,13.2
84,13.3
84.5,13.5
85,13.6
85.5,13.7
86,13.9
86.5,14
87,14.2
87.5,14.3
88,14.5
88.5,14.6
89,14.7
89.5,14.9
90,15
90.5,15.1
cm,2 SD
91,15.3
91.5,15.4
92,15.6
92.5,15.7
93,15.8
93.5,16
94,16.1
94.5,16.3
95,16.4
95.5,16.5
96,16.7
96.5,16.8
97,17
97.5,17.1
98,17.3
98.5,17.5
99,17.6
99.5,17.8
100,18
100.5,18.1
101,18.3
101.5,18.5
102,18.7
102.5,18.8
103,19
103.5,19.2
104,19.4
104.5,19.6
105,19.8
105.5,20
106,20.2
cm,2 SD
106.5,20.4
107,20.6
107.5,20.8
108,21
108.5,21.2
109,21.4
109.5,21.7
110,21.9
