cm,-3 SD
45,1.9
45.5,1.9
46,2
46.5,2.1
47,2.1
47.5,2.2
48,2.3
48.5,2.3
49,2.4
49.5,2.5
50,2.6
50.5,2.7
51,2.7
51.5,2.8
52,2.9
52.5,3
53,3.1
53.5,3.2
54,3.3
54.5,3.4
55,3.6
55.5,3.7
56,3.8
56.5,3.9
57,4
57.5,4.1
58,4.3
58.5,4.4
59,4.5
59.5,4.6
cm,-3 SD
60,4.7
60.5,4.8
61,4.9
61.5,5
62,5.1
62.5,5.2
63,5.3
63.5,5.4
64,5.5
64.5,5.6
65,5.7
65.5,5.8
66,5.9
66.5,6
67,6.1
67.5,6.2
68,6.3
68.5,6.4
69,6.5
69.5,6.6
70,6.6
70.5,6.7
71,6.8
71.5,6.9
72,7
72.5,7.1
73,7.2
73.5,7.2
74,7.3
74.5,7.4
75,7.5
cm,-3 SD
75.5,7.6
76,7.6
76.5,7.7
77,7.8
77.5,7.9
78,7.9
78.5,8
79,8.1
79.5,8.2
80,8.2
80.5,8.3
81,8.4
81.5,8.5
82,8.5
82.5,8.6
83,8.7
83.5,8.8
84,8.9
84.5,9
85,9.1
85.5,9.2
86,9.3
86.5,9.4
87,9.5
87.5,9.6
88,9.7
88.5,9.8
89,9.9
89.5,10
90,10.1
90.5,10.2
cm,-3 SD
91,10.3
91.5,10.4
92,10.5
92.5,10.6
93,10.7
93.5,10.7
94,10.8
94.5,10.9
95,11
95.5,11.1
96,11.2
96.5,11.3
97,11.4
97.5,11.5
98,11.6
98.5,11.7
99,11.8
99.5,11.9
100,12
100.5,12.1
101,12.2
101.5,12.3
102,12.4
102.5,12.5
103,12.6
103.5,12.7
104,12.8
104.5,12.9
105,13
105.5,13.2
106,13.3
cm,-3 SD
106.5,13.4
107,13.5
107.5,13.6
108,13.7
108.5,13.8
109,14
109.5,14.1
110,14.2
