style,college
background-color: #cc0000;color: white; border-bottom: 4px solid black;,North Carolina State
background-color: #0c2340; color: white; border-bottom: 4px solid #c99700;,Notre Dame
background-color: #003594; color: white; border-bottom: 4px solid #FFB81C;,Pittsburgh
background-color: #d44500; color: #e8eAeb; border-bottom: 4px solid #3e3d3c;,Syracuse
background-color:#232D4b; border-bottom: 4px solid #e57200; color: #fff;,Virginia
background-color:#8a1e41; border-bottom: 4px solid #ee7623; color: #fff;,Virginia Tech
background-color:#a67f31; border-bottom: 4px solid #000; color: #fff;,Wake Forest
background-color: #1d3c34; color: #fff; border-bottom: 4px solid #ffb81c;,Baylor
background-color: #c8102e; color: #fff; border-bottom: 4px solid #f1be48;,Iowa State
background-color: #0051ba; border-bottom: 4px solid #e8000d; color: #ffc82d;,Kansas
background-color: #512888; color: #fff; border-bottom: 4px solid #a7a7a7;,Kansas State
background-color:#841617; color: white; border-bottom: 4px solid #fdf9d8;,Oklahoma
background-color: #ff7300; color: #fff; border-bottom: 4px solid black;,Oklahoma State
background-color: #bf5700; color: white; border-bottom: 4px solid #333f48;,Texas
background-color: #4d1979; color: white; border-bottom: 4px solid #a3a9ac;,Texas Christian
background-color: #cc0000;color: white; border-bottom: 4px solid black;,Texas Tech
background-color:#002855; border-bottom: 4px solid #eaaa00; color: #fff;,West Virginia
background-color: #13294B; border-bottom: 4px solid #747678;,Butler
background-color: #005CA9; border-bottom: 4px solid #00235D;,Creighton
background-color: #005EB8; border-bottom: 4px solid #E4002B;,DePaul
background-color: #041e42; border-bottom: 4px solid #8D817B;,Georgetown
background-color: #003366; border-bottom: 4px solid #ffcc00;,Marquette
background-color: #000000; border-bottom: 4px solid #8a8d8f;,Providence
background-color: #004488; border-bottom: 4px solid #A2AAAD;,Seton Hall
background-color: #BA0C2F; border-bottom: 4px solid #041c2c;,St. John’s
background-color: #00205B; border-bottom: 4px solid #13B5EA;,Villanova
background-color: #0c2340; border-bottom: 4px solid #9ea2a2;,Xavier
background-color: #800000; color: white; border-bottom: 4px solid #9D8958;,Charleston Cougars
background-color: #00539f; color: white; border-bottom: 4px solid #ffd200;,Delaware Blue Hens
background-color: #ffda02; color: white; border-bottom: 4px solid #00437b;,Drexel Dragons
background-color: #73000a; color: white; border-bottom: 4px solid #b59a57;,Elon Phoenix
background-color: #0b1e73; color: white; border-bottom: 4px solid #FEB612;,Hofstra Pride
background-color: #450084; color: white; border-bottom: 4px solid #CBB677;,James Madison Dukes
background-color: #d41b2c; color: white; border-bottom: 4px solid #000000;,Northeastern Huskies
background-color: #ffbb00; color: white; border-bottom: 4px solid #3C3C3C;,Towson Tigers
background-color: #003366; color: white; border-bottom: 4px solid #FFD600;,UNC Seahawks
background-color: #115740; color: white; border-bottom: 4px solid #F0B323;,William & Mary Tribe
background-color: #006747; border-bottom: 4px solid #000;,Cleveland State
background-color: #A6093D; border-bottom: 4px solid #002d72;,Detroit Mercy
background-color: #006747; border-bottom: 4px solid #9d2235;,Green Bay
background-color: #9d2235; border-bottom: 4px solid #dfd1a7;,IUPUI
background-color: #ffbd00; border-bottom: 4px solid #000; color: black;,Milwaukee
background-color: #FFC72C; border-bottom: 4px solid #000; color: black;,Northern Kentucky
background-color: #B59A57; border-bottom: 4px solid #000;,Oakland
background-color: #041E42; border-bottom: 4px solid #AC1E2D;,UIC
background-color: #026937; border-bottom: 4px solid #cea052;,Wright State
background-color: #c8102e; border-bottom: 4px solid #000;,Youngstown State
background-color: #002d72; border-bottom: 4px solid #007749;,Florida Gulf Coast
background-color: #004e44; border-bottom: 4px solid #898A8D;,Jacksonville
background-color: #fdbb30; border-bottom: 4px solid #0B1315; color: black;,Kennesaw State
background-color: #002d62; border-bottom: 4px solid #c41230; color: white;,Liberty Flames
background-color: #331e54; border-bottom: 4px solid #F4AA00;,Lipscomb University
background-color: #46166b; border-bottom: 4px solid #DB9F11; color: white;,North Alabama
background-color: #d22630; border-bottom: 4px solid #071D49;,NJIT
background-color: #00246b; border-bottom: 4px solid #D9D9D9;,North Florida
