cm,3 SD
45,3.3
45.5,3.4
46,3.5
46.5,3.6
47,3.7
47.5,3.8
48,4
48.5,4.1
49,4.2
49.5,4.3
50,4.5
50.5,4.6
51,4.8
51.5,4.9
52,5.1
52.5,5.2
53,5.4
53.5,5.5
54,5.7
54.5,5.9
55,6.1
55.5,6.3
56,6.4
56.5,6.6
57,6.8
57.5,7
58,7.1
58.5,7.3
59,7.5
59.5,7.7
cm,3 SD
60,7.8
60.5,8
61,8.2
61.5,8.4
62,8.5
62.5,8.7
63,8.8
63.5,9
64,9.1
64.5,9.3
65,9.5
65.5,9.6
66,9.8
66.5,9.9
67,10
67.5,10.2
68,10.3
68.5,10.5
69,10.6
69.5,10.7
70,10.9
70.5,11
71,11.1
71.5,11.3
72,11.4
72.5,11.5
73,11.7
73.5,11.8
74,11.9
74.5,12
75,12.2
cm,3 SD
75.5,12.3
76,12.4
76.5,12.5
77,12.6
77.5,12.8
78,12.9
78.5,13
79,13.1
79.5,13.3
80,13.4
80.5,13.5
81,13.7
81.5,13.8
82,13.9
82.5,14.1
83,14.2
83.5,14.4
84,14.5
84.5,14.7
85,14.9
85.5,15
86,15.2
86.5,15.4
87,15.5
87.5,15.7
88,15.9
88.5,16
89,16.2
89.5,16.4
90,16.5
90.5,16.7
cm,3 SD
91,16.9
91.5,17
92,17.2
92.5,17.4
93,17.5
93.5,17.7
94,17.9
94.5,18
95,18.2
95.5,18.4
96,18.6
96.5,18.7
97,18.9
97.5,19.1
98,19.3
98.5,19.5
99,19.6
99.5,19.8
100,20
100.5,20.2
101,20.4
101.5,20.6
102,20.8
102.5,21
103,21.3
103.5,21.5
104,21.7
104.5,21.9
105,22.2
105.5,22.4
106,22.6
cm,3 SD
106.5,22.9
107,23.1
107.5,23.4
108,23.6
108.5,23.9
109,24.2
109.5,24.4
110,24.7
