cm,1 SD
45,2.7
45.5,2.8
46,2.9
46.5,3
47,3.1
47.5,3.2
48,3.3
48.5,3.4
49,3.5
49.5,3.6
50,3.7
50.5,3.8
51,3.9
51.5,4
52,4.2
52.5,4.3
53,4.4
53.5,4.6
54,4.7
54.5,4.8
55,5
55.5,5.1
56,5.3
56.5,5.4
57,5.6
57.5,5.7
58,5.9
58.5,6
59,6.2
59.5,6.3
cm,1 SD
60,6.4
60.5,6.6
61,6.7
61.5,6.9
62,7
62.5,7.1
63,7.3
63.5,7.4
64,7.5
64.5,7.6
65,7.8
65.5,7.9
66,8
66.5,8.1
67,8.3
67.5,8.4
68,8.5
68.5,8.6
69,8.7
69.5,8.8
70,9
70.5,9.1
71,9.2
71.5,9.3
72,9.4
72.5,9.5
73,9.6
73.5,9.7
74,9.8
74.5,9.9
75,10
cm,1 SD
75.5,10.1
76,10.2
76.5,10.3
77,10.4
77.5,10.5
78,10.6
78.5,10.7
79,10.8
79.5,10.9
80,11
80.5,11.2
81,11.3
81.5,11.4
82,11.5
82.5,11.6
83,11.8
83.5,11.9
84,12
84.5,12.1
85,12.3
85.5,12.4
86,12.6
86.5,12.7
87,12.8
87.5,13
88,13.1
88.5,13.2
89,13.4
89.5,13.5
90,13.7
90.5,13.8
cm,1 SD
91,13.9
91.5,14.1
92,14.2
92.5,14.3
93,14.5
93.5,14.6
94,14.7
94.5,14.9
95,15
95.5,15.2
96,15.3
96.5,15.4
97,15.6
97.5,15.7
98,15.9
98.5,16
99,16.2
99.5,16.3
100,16.5
100.5,16.6
101,16.8
101.5,17
102,17.1
102.5,17.3
103,17.5
103.5,17.6
104,17.8
104.5,18
105,18.2
105.5,18.4
106,18.5
cm,1 SD
106.5,18.7
107,18.9
107.5,19.1
108,19.3
108.5,19.5
109,19.7
109.5,20
110,20.2
