cm,-3 SD
45,1.9
45.5,2
46,2
46.5,2.1
47,2.2
47.5,2.2
48,2.3
48.5,2.4
49,2.4
49.5,2.5
50,2.6
50.5,2.7
51,2.8
51.5,2.8
52,2.9
52.5,3
53,3.1
53.5,3.2
54,3.3
54.5,3.4
55,3.5
55.5,3.6
56,3.7
56.5,3.8
57,3.9
57.5,4
58,4.1
58.5,4.2
59,4.3
59.5,4.4
cm,-3 SD
60,4.5
60.5,4.6
61,4.7
61.5,4.8
62,4.9
62.5,5
63,5.1
63.5,5.2
64,5.3
64.5,5.4
65,5.5
65.5,5.5
66,5.6
66.5,5.7
67,5.8
67.5,5.9
68,6
68.5,6.1
69,6.1
69.5,6.2
70,6.3
70.5,6.4
71,6.5
71.5,6.5
72,6.6
72.5,6.7
73,6.8
73.5,6.9
74,6.9
74.5,7
75,7.1
cm,-3 SD
75.5,7.1
76,7.2
76.5,7.3
77,7.4
77.5,7.4
78,7.5
78.5,7.6
79,7.7
79.5,7.7
80,7.8
80.5,7.9
81,8
81.5,8.1
82,8.1
82.5,8.2
83,8.3
83.5,8.4
84,8.5
84.5,8.6
85,8.7
85.5,8.8
86,8.9
86.5,9
87,9.1
87.5,9.2
88,9.3
88.5,9.4
89,9.5
89.5,9.6
90,9.7
90.5,9.8
cm,-3 SD
91,9.9
91.5,10
92,10.1
92.5,10.1
93,10.2
93.5,10.3
94,10.4
94.5,10.5
95,10.6
95.5,10.7
96,10.8
96.5,10.9
97,11
97.5,11.1
98,11.2
98.5,11.3
99,11.4
99.5,11.5
100,11.6
100.5,11.7
101,11.8
101.5,11.9
102,12
102.5,12.1
103,12.3
103.5,12.4
104,12.5
104.5,12.6
105,12.7
105.5,12.8
106,13
cm,-3 SD
106.5,13.1
107,13.2
107.5,13.3
108,13.5
108.5,13.6
109,13.7
109.5,13.9
110,14
