cm,85th
45,2.7
45.5,2.8
46,2.9
46.5,3
47,3.1
47.5,3.1
48,3.2
48.5,3.3
49,3.4
49.5,3.5
50,3.7
50.5,3.8
51,3.9
51.5,4
52,4.1
52.5,4.3
53,4.4
53.5,4.5
54,4.7
54.5,4.8
55,5
55.5,5.1
56,5.3
56.5,5.4
57,5.6
57.5,5.8
58,5.9
58.5,6.1
59,6.2
59.5,6.4
cm,85th
60,6.5
60.5,6.7
61,6.8
61.5,7
62,7.1
62.5,7.3
63,7.4
63.5,7.5
64,7.7
64.5,7.8
65,7.9
65.5,8.1
66,8.2
66.5,8.3
67,8.4
67.5,8.6
68,8.7
68.5,8.8
69,8.9
69.5,9.1
70,9.2
70.5,9.3
71,9.4
71.5,9.6
72,9.7
72.5,9.8
73,9.9
73.5,10
74,10.1
74.5,10.3
75,10.4
cm,85th
75.5,10.5
76,10.6
76.5,10.7
77,10.8
77.5,10.9
78,11
78.5,11.1
79,11.2
79.5,11.3
80,11.4
80.5,11.5
81,11.6
81.5,11.7
82,11.8
82.5,11.9
83,12
83.5,12.2
84,12.3
84.5,12.4
85,12.5
85.5,12.7
86,12.8
86.5,12.9
87,13.1
87.5,13.2
88,13.3
88.5,13.5
89,13.6
89.5,13.7
90,13.8
90.5,14
cm,85th
91,14.1
91.5,14.2
92,14.4
92.5,14.5
93,14.6
93.5,14.7
94,14.9
94.5,15
95,15.1
95.5,15.3
96,15.4
96.5,15.5
97,15.7
97.5,15.8
98,15.9
98.5,16.1
99,16.2
99.5,16.4
100,16.5
100.5,16.7
101,16.8
101.5,17
102,17.2
102.5,17.3
103,17.5
103.5,17.7
104,17.8
104.5,18
105,18.2
105.5,18.4
106,18.5
cm,85th
106.5,18.7
107,18.9
107.5,19.1
108,19.3
108.5,19.5
109,19.6
109.5,19.8
110,20
